Date,Open,High,Low,Close,Adj Close,Volume
"Jun 1, 2021",165.87,166.91,165.48,166.05,150.88,"9,445,400"
"May 28, 2021",164.68,164.94,163.26,164.24,149.24,"10,291,300"
"May 27, 2021",163.95,164.75,162.57,164.35,149.34,"15,707,500"
"May 26, 2021",163.57,163.74,161.31,161.83,147.05,"13,058,300"
"May 25, 2021",163.85,165.70,161.56,161.85,147.06,"12,609,100"
"May 24, 2021",163.36,164.23,162.12,163.54,148.60,"9,440,300"
"May 21, 2021",161.34,163.22,160.94,162.66,147.80,"10,249,000"
"May 20, 2021",160.83,161.86,159.52,160.83,146.14,"10,426,000"
"May 19, 2021",161.00,161.18,158.64,161.11,146.39,"13,278,900"
"May 18, 2021",164.68,165.50,162.24,162.35,147.52,"11,098,100"
"May 17, 2021",163.37,164.85,163.03,164.67,149.63,"9,886,800"
"May 14, 2021",162.39,164.45,161.99,164.01,149.03,"10,584,000"
"May 13, 2021",158.18,162.45,157.68,161.50,146.75,"15,395,000"
"May 12, 2021",159.61,160.78,157.03,157.45,143.07,"14,381,700"
"May 11, 2021",161.08,162.39,158.04,158.54,144.06,"15,451,700"
"May 10, 2021",161.50,163.73,161.12,161.22,146.49,"14,014,300"
"May 7, 2021",157.22,161.50,157.02,161.24,146.51,"14,257,800"
"May 6, 2021",158.07,160.82,157.16,160.69,146.01,"13,542,400"
"May 5, 2021",156.00,158.28,154.63,157.52,143.13,"10,506,700"
"May 4, 2021",152.87,155.64,152.14,155.48,141.28,"12,977,700"
"May 3, 2021",154.85,155.48,153.13,153.36,139.35,"11,801,100"
"Apr 30, 2021",154.10,154.49,153.01,153.81,139.76,"11,705,100"
"Apr 29, 2021",153.54,155.28,153.20,155.19,141.01,"12,976,900"
"Apr 28, 2021",152.43,152.89,151.40,152.23,138.32,"8,943,700"
"Apr 27, 2021",150.50,151.57,150.11,151.25,137.43,"12,821,200"
"Apr 26, 2021",150.78,152.46,150.38,150.56,136.81,"10,799,100"
"Apr 23, 2021",147.18,151.13,146.69,150.19,136.47,"14,041,900"
"Apr 22, 2021",150.23,150.30,147.26,147.37,133.91,"15,256,100"
"Apr 21, 2021",147.79,150.61,146.79,150.54,136.79,"12,236,700"
"Apr 20, 2021",151.74,151.75,148.65,149.27,135.63,"13,716,700"
"Apr 19, 2021",153.42,153.88,152.22,152.65,138.70,"11,900,200"
"Apr 16, 2021",153.87,154.51,152.69,153.30,139.30,"13,773,400"
"Apr 15, 2021",151.25,152.20,149.32,152.17,138.27,"17,694,100"
"Apr 14, 2021",151.47,153.83,150.93,151.21,137.40,"19,939,600"
"Apr 13, 2021",154.75,155.20,152.43,154.09,140.01,"16,113,600"
"Apr 12, 2021",155.58,157.25,155.57,155.95,141.70,"12,273,400"
"Apr 9, 2021",155.81,157.04,154.97,156.28,142.00,"12,122,400"
"Apr 8, 2021",154.00,155.51,152.31,155.12,140.95,"12,335,500"
"Apr 7, 2021",153.10,155.23,152.65,154.93,140.78,"16,903,500"
"Apr 6, 2021",152.79,154.28,151.86,152.54,138.60,"13,071,600"
"Apr 5, 2021",154.40,154.94,152.60,153.62,139.59,"13,508,000"
"Apr 1, 2021",151.90,153.79,151.55,153.71,138.85,"16,561,500"
"Mar 31, 2021",153.28,154.49,152.12,152.23,137.51,"16,736,700"
"Mar 30, 2021",154.46,155.87,153.88,154.48,139.55,"13,184,300"
"Mar 29, 2021",152.12,153.73,151.04,152.68,137.92,"17,570,300"
"Mar 26, 2021",154.30,155.45,152.55,155.09,140.10,"16,754,400"
"Mar 25, 2021",150.00,152.97,149.33,152.55,137.80,"15,608,300"
"Mar 24, 2021",150.00,153.18,149.86,150.62,136.06,"13,079,800"
"Mar 23, 2021",150.33,152.12,148.96,149.46,135.01,"17,076,300"
"Mar 22, 2021",152.80,153.97,150.61,150.97,136.37,"19,944,800"
"Mar 19, 2021",155.51,155.94,151.19,155.14,140.14,"54,418,800"
"Mar 18, 2021",157.60,161.69,157.11,157.65,142.41,"21,898,500"
"Mar 17, 2021",155.34,156.88,153.05,155.09,140.10,"13,952,400"
"Mar 16, 2021",154.09,154.60,152.19,153.51,138.67,"12,805,600"
"Mar 15, 2021",156.35,156.92,153.96,155.37,140.35,"12,101,100"
"Mar 12, 2021",156.86,157.63,155.07,156.15,141.05,"12,849,500"
"Mar 11, 2021",154.11,156.15,153.36,154.32,139.40,"11,771,500"
"Mar 10, 2021",151.91,156.16,151.51,155.13,140.13,"14,342,200"
"Mar 9, 2021",151.50,154.25,149.82,151.83,137.15,"16,238,800"
"Mar 8, 2021",152.47,155.46,150.75,152.91,138.13,"17,133,300"
"Mar 5, 2021",153.22,153.49,147.97,150.91,136.32,"18,465,100"
"Mar 4, 2021",152.61,154.38,148.62,150.56,136.00,"20,093,900"
"Mar 3, 2021",151.23,154.98,150.82,152.91,138.13,"14,324,100"
"Mar 2, 2021",150.08,151.78,149.84,150.01,135.51,"14,221,700"
"Mar 1, 2021",149.52,151.38,148.48,150.50,135.95,"14,845,500"
"Feb 26, 2021",150.30,150.87,146.51,147.17,132.94,"19,829,200"
"Feb 25, 2021",154.27,154.90,150.59,151.18,136.56,"18,127,700"
"Feb 24, 2021",150.11,153.76,150.11,153.26,138.44,"15,061,400"
"Feb 23, 2021",151.51,152.31,149.59,150.61,136.05,"16,234,400"
"Feb 22, 2021",146.87,150.19,146.79,149.41,134.97,"11,488,400"
"Feb 19, 2021",145.86,148.84,145.86,148.02,133.71,"11,969,800"
"Feb 18, 2021",144.00,145.79,143.40,145.59,131.52,"10,587,800"
"Feb 17, 2021",143.95,145.38,143.12,145.10,131.07,"10,810,100"
"Feb 16, 2021",143.55,145.32,142.40,144.65,130.67,"12,130,600"
"Feb 12, 2021",139.05,141.61,139.00,141.25,127.59,"8,324,600"
"Feb 11, 2021",139.66,140.55,138.22,139.27,125.81,"9,201,000"
"Feb 10, 2021",140.00,140.87,139.04,139.66,126.16,"10,323,200"
"Feb 9, 2021",139.43,139.98,138.54,139.58,126.09,"8,614,800"
"Feb 8, 2021",138.20,140.30,138.18,140.14,126.59,"10,136,400"
"Feb 5, 2021",139.39,139.49,137.38,137.98,124.64,"10,051,300"
"Feb 4, 2021",135.47,138.66,135.47,138.25,124.88,"12,419,500"
"Feb 3, 2021",133.65,135.76,133.51,135.14,122.08,"10,600,800"
